"","element_id","sentence_id","word_count","sentiment","polarity_level"
"324",324,1,35,0.600059520857247,"Positive"
"325",325,1,35,0.228191648776699,"Positive"
"326",326,1,8,0.176776695296637,"Positive"
"327",327,1,7,0,"Neutral"
"328",328,1,85,0.569442451773972,"Positive"
"329",329,1,326,0.813146926148406,"Positive"
"330",330,1,66,1.0142738856697,"Positive"
"331",331,1,33,0.461305788282599,"Positive"
"332",332,1,46,0.653167865766194,"Positive"
"333",333,1,49,0.132035714285714,"Positive"
"334",334,1,89,0.577698844603466,"Positive"
"335",335,1,49,0.224285714285714,"Positive"
"336",336,1,69,0.439408363763058,"Positive"
"337",337,1,48,0.22372322931098,"Positive"
"338",338,1,37,0.509636860646608,"Positive"
"339",339,1,44,1.04021413879328,"Positive"
"340",340,1,50,0.332340187157677,"Positive"
"341",341,1,9,1.08333333333333,"Positive"
"342",342,1,165,0.63885569605255,"Positive"
"343",343,1,20,0.724486024709932,"Positive"
"344",344,1,26,0.500096144602369,"Positive"
"345",345,1,77,0.556953827302366,"Positive"
"346",346,1,83,0.800181455324843,"Positive"
"347",347,1,61,0.835120549362314,"Positive"
"348",348,1,53,0.94091986304852,"Positive"
"349",349,1,51,1.02080418125642,"Positive"
"350",350,1,10,0.537587202228625,"Positive"
"351",351,1,60,0.875294236242876,"Positive"
"352",352,1,38,0.324442842261525,"Positive"
"353",353,1,53,0.398345635451198,"Positive"
"354",354,1,90,0.484882574559151,"Positive"
"355",355,1,31,0.831572548383968,"Positive"
"356",356,1,170,0.677786134769143,"Positive"
"357",357,1,119,0.535053995252941,"Positive"
"358",358,1,176,1.1796631356605,"Positive"
"359",359,1,84,1.36058854562141,"Positive"
"360",360,1,159,0.954635846308216,"Positive"
"361",361,1,124,0.188652919116374,"Positive"
"362",362,1,189,0.989981828703952,"Positive"
"363",363,1,112,0.127563009640614,"Positive"
"364",364,1,173,0.353532953390413,"Positive"
"365",365,1,29,0.445668811624924,"Positive"
"366",366,1,66,1.37123920950977,"Positive"
"367",367,1,122,0.455349534720847,"Positive"
"368",368,1,63,0.50395263067897,"Positive"
"369",369,1,135,0.496731630725247,"Positive"
"370",370,1,14,0.133630620956212,"Positive"
"371",371,1,89,0.730338539324382,"Positive"
