"","lat","long","census_code","GEOID20","id","price"
"983",42.36113,-71.13228,"250250001011007","25025000101",34212710,99
"984",42.3607,-71.13097,"250250001011003","25025000101",34212943,99
"985",42.34503,-71.16659,"250250003022000","25025000302",34342016,60
"986",42.28819,-71.0679,"250251005002001","25025100500",34422276,89
"987",42.31698,-71.05789,"250250911005002","25025091100",34685709,190
"988",42.35104,-71.0697,"250250703022002","25025070302",34709924,365
"989",42.35518,-71.16573,"250250003011006","25025000301",34771001,59
"990",42.382,-71.06911,"250250406002004","25025040600",34782422,449
"991",42.32646,-71.09677,"250250814002006","25025081400",34806841,51
"992",42.35189,-71.14189,"250250006042000","25025000604",35001266,109
"993",42.32554,-71.09591,"250250814002011","25025081400",35003138,46
"994",42.32564,-71.09629,"250250814002011","25025081400",35003565,50
"995",42.32336,-71.09434,"250250814002011","25025081400",35004296,54
"996",42.32559,-71.09446,"250250814002012","25025081400",35004562,54
"997",42.38054,-71.02902,"250250509012001","25025050901",35027638,163
"998",42.30585,-71.11294,"250251202011002","25025120201",35038113,145
"999",42.32394,-71.09554,"250250814002011","25025081400",35077924,80
"1000",42.32434,-71.09472,"250250814002011","25025081400",35079257,80
"1001",42.32279,-71.09506,"250250815001006","25025081500",35080086,116
"1002",42.35732,-71.06961,"250250201013006","25025020101",35161089,289
"1003",42.35793,-71.06865,"250250201013004","25025020101",35185474,214
"1004",42.31004,-71.07148,"250250918001002","25025091800",35234168,48
"1005",42.31692,-71.05854,"250250911005002","25025091100",35238309,102
"1006",42.34547,-71.10354,"250250102043009","25025010204",35292308,299
"1007",42.34592,-71.16919,"250250003022001","25025000302",35309418,102
"1008",42.31818,-71.1098,"250251206003000","25025120600",35346496,200
"1009",42.32948,-71.09395,"250250814002003","25025081400",35347243,189
"1010",42.36168,-71.06526,"250250203011010","25025020301",35467463,219
"1011",42.35894,-71.12599,"250250008042005","25025000804",35547817,30
"1012",42.37004,-71.0399,"250250504001002","25025050400",35579707,115
"1013",42.31744,-71.05844,"250250911005002","25025091100",35583138,126
"1014",42.36945,-71.03981,"250250504001003","25025050400",35617006,176
"1015",42.35041,-71.06936,"250250703022003","25025070302",35682239,320
"1016",42.35222,-71.06882,"250250703022000","25025070302",35682265,332
"1017",42.35129,-71.06862,"250250703022002","25025070302",35682280,355
"1018",42.35073,-71.07077,"250250703023001","25025070302",35682301,355
"1019",42.35005,-71.0691,"250250703023005","25025070302",35682313,355
"1020",42.37034,-71.03948,"250250504001001","25025050400",35693019,125
"1021",42.38451,-71.01262,"250250510001007","25025051000",35836205,149
"1022",42.34459,-71.08019,"250250106001007","25025010600",35915047,318
"1023",42.34519,-71.08087,"250250106001006","25025010600",35915207,282
"1024",42.34459,-71.08019,"250250106001007","25025010600",35916196,222
"1025",42.36007,-71.12625,"250250008042000","25025000804",35968526,102
"1026",42.31398,-71.05361,"250250911002004","25025091100",36000657,70
"1027",42.34809,-71.06878,"250250703021007","25025070302",36036045,141
"1028",42.34869,-71.06921,"250250703021005","25025070302",36036348,100
"1029",42.34916,-71.06928,"250250703021005","25025070302",36036766,100
"1030",42.34721,-71.06846,"250250704022003","25025070402",36036969,100
"1031",42.34872,-71.07053,"250250703023006","25025070302",36037367,112
"1032",42.34782,-71.06994,"250250703011002","25025070301",36037475,118
"1033",42.34867,-71.06947,"250250703023006","25025070302",36037605,108
"1034",42.34686,-71.07417,"250250707001007","25025070700",36040459,88
"1035",42.32063,-71.07464,"250250904004002","25025090400",36106804,141
"1036",42.33553,-71.04312,"250250605013006","25025060501",36108417,200
"1037",42.3619,-71.12746,"250250008042000","25025000804",36113606,104
"1038",42.36007,-71.1261,"250250008042000","25025000804",36114933,110
"1039",42.31002,-71.06299,"250250915003001","25025091500",36145390,153
"1040",42.35775,-71.06169,"250250701021003","25025070102",36179054,110
"1041",42.35367,-71.06253,"250250701022002","25025070102",36269353,412
"1042",42.38834,-71.00507,"250250511011003","25025051101",36269383,300
"1043",42.35445,-71.06176,"250250701021009","25025070102",36269751,432
"1044",42.33613,-71.08445,"250250805001000","25025080500",36321848,94
"1045",42.35159,-71.08177,"250250107012000","25025010701",36423296,155
"1046",42.31514,-71.09985,"250251203011008","25025120301",36439921,29
"1047",42.27908,-71.14016,"250251105012011","25025110501",36528015,125
"1048",42.3283,-71.09529,"250250814001007","25025081400",36551230,195
"1049",42.34152,-71.15477,"250250004021003","25025000402",36621324,100
"1050",42.34092,-71.1454,"250250005061006","25025000506",36621741,124
"1051",42.37779,-71.05002,"250250408013011","25025040801",36622810,286
"1052",42.36892,-71.01928,"250259813001007","25025981300",36630748,88
"1053",42.35166,-71.04705,"250250606042004","25025060604",36664626,299
"1054",42.30813,-71.0714,"250250918002001","25025091800",36760583,48
"1055",42.30841,-71.07188,"250250918002001","25025091800",36760873,48
"1056",42.3083,-71.07344,"250250918003000","25025091800",36761473,48
"1057",42.3659,-71.03587,"250250512003002","25025051200",36766327,127
"1058",42.30845,-71.07356,"250250903002001","25025090300",36775500,122
"1059",42.35161,-71.12857,"250250007032007","25025000703",36911216,233
"1060",42.33677,-71.0825,"250250805002005","25025080500",36918004,50
"1061",42.31747,-71.06688,"250250914001000","25025091400",36977405,115
"1062",42.31466,-71.05316,"250250911002005","25025091100",37021350,70
"1063",42.36335,-71.0506,"250250303012001","25025030301",37023405,222
"1064",42.341137,-71.049583,"250250606011000","25025060601",37068313,229
"1065",42.35947,-71.06482,"250250203021003","25025020302",37152036,550
"1066",42.35222,-71.0822,"250250108023003","25025010802",37180881,145
"1067",42.35931,-71.06518,"250250201014000","25025020101",37253472,352
"1068",42.3355,-71.04517,"250250605013008","25025060501",37367776,150
"1069",42.27654,-71.13487,"250251401061000","25025140106",37461678,50
"1070",42.35349,-71.07616,"250250107023009","25025010702",37630538,404
"1071",42.343166,-71.083229,"250250105002003","25025010500",37709158,133
"1072",42.36534,-71.0574,"250250301002005","25025030100",37709576,105
"1073",42.30763,-71.08762,"250250821002002","25025082100",37784404,404
"1074",42.31633,-71.10123,"250251203011001","25025120301",37823144,152
"1075",42.34803,-71.07086,"250250703023008","25025070302",37889446,108
"1076",42.32286,-71.08944,"250250817003000","25025081700",37927528,48
"1077",42.32082,-71.08763,"250250817003001","25025081700",37927764,53
"1078",42.32127,-71.08943,"250250817003001","25025081700",37927954,48
"1079",42.31423,-71.0996,"250251203012000","25025120301",37931130,29
"1080",42.36093,-71.06307,"250250203021000","25025020302",38018931,502
"1081",42.34185,-71.08151,"250250708022002","25025070802",38106963,387
"1082",42.33636,-71.04464,"250250605015004","25025060501",38127199,175
"1083",42.33312,-71.10272,"250250809003002","25025080900",38134488,92
"1084",42.34396,-71.08172,"250250105003002","25025010500",38168575,388
"1085",42.34317,-71.08323,"250250105002003","25025010500",38178173,159
"1086",42.30762,-71.06387,"250250916001000","25025091600",38301053,50
"1087",42.30968,-71.06546,"250250915003005","25025091500",38311023,50
"1088",42.32282,-71.09125,"250250815001004","25025081500",38377602,573
"1089",42.32394,-71.10879,"250250812001009","25025081200",38382899,200
"1090",42.32189,-71.10955,"250251206001001","25025120600",38384895,50
"1091",42.32232,-71.10955,"250251207001003","25025120700",38385157,50
"1092",42.32366,-71.10977,"250251207001001","25025120700",38385300,50
"1093",42.32347,-71.10807,"250250812001008","25025081200",38385513,50
"1094",42.30946,-71.06461,"250250915002009","25025091500",38387822,110
"1095",42.34202,-71.07588,"250250706002001","25025070600",38407434,135
"1096",42.34754,-71.07153,"250250703011003","25025070301",38422629,108
"1097",42.34796,-71.06889,"250250703021011","25025070302",38433315,112
"1098",42.34235,-71.08151,"250250708022003","25025070802",38643550,446
"1099",42.34918,-71.06875,"250250703021005","25025070302",38798321,104
"1100",42.2926,-71.12241,"250251101041001","25025110104",38908913,42
"1101",42.29173,-71.12356,"250251101041004","25025110104",38923194,40
"1102",42.34737,-71.06862,"250250704022003","25025070402",39004265,112
"1103",42.35075,-71.06354,"250250702012005","25025070201",39023175,170
"1104",42.37953,-71.02953,"250250509011016","25025050901",39035114,192
"1105",42.32689,-71.09397,"250250814002014","25025081400",39045406,127
"1106",42.32248,-71.06847,"250250906002011","25025090600",39056629,49
"1107",42.33513,-71.05266,"250250608004004","25025060800",39178355,294
"1108",42.32239,-71.06897,"250250906002011","25025090600",39199659,38
"1109",42.26012,-71.11477,"250251403005001","25025140300",39202885,90
"1110",42.34735,-71.07063,"250250703011002","25025070301",39242821,126
"1111",42.34771,-71.07009,"250250703011002","25025070301",39298735,119
"1112",42.3285,-71.11182,"250250811012000","25025081101",39365653,578
"1113",42.33848,-71.07669,"250250709022002","25025070902",39390476,370
"1114",42.33295,-71.04962,"250250610001002","25025061000",39394763,105
"1115",42.364773,-71.063141,"250250203051004","25025020305",39461138,170
"1116",42.29812,-71.06917,"250250920002007","25025092000",39536784,162
"1117",42.30882,-71.06636,"250250918001006","25025091800",39583307,120
"1118",42.35364,-71.08267,"250259815011047","25025981501",39604562,134
"1119",42.33582,-71.03783,"250250605012004","25025060501",39610492,169
"1120",42.34752,-71.06996,"250250703011002","25025070301",39621523,104
"1121",42.32396,-71.07069,"250250906002004","25025090600",39700598,38
"1122",42.38434,-71.01818,"250250510003002","25025051000",39788966,205
"1123",42.35311,-71.0701,"250259817001002","25025981700",39820036,112
"1124",42.28789,-71.06788,"250251005002001","25025100500",39893738,191
"1125",42.34782,-71.07078,"250250703011002","25025070301",39971003,112
"1126",42.30445,-71.13064,"250251201051007","25025120105",39984676,185
"1127",42.33481,-71.04767,"250250608001003","25025060800",39999591,310
"1128",42.34257,-71.08331,"250250105003004","25025010500",40012368,388
"1129",42.35714,-71.05336,"250250701042011","25025070104",40031197,249
"1130",42.34863,-71.0693,"250250703021007","25025070302",40035442,112
"1131",42.32093,-71.10587,"250251205002002","25025120500",40158763,150
"1132",42.29937,-71.08098,"250250901005003","25025090100",40159691,300
"1133",42.30967,-71.086,"250250821001003","25025082100",40176444,40
"1134",42.28302,-71.08859,"250251002002003","25025100200",40287437,81
"1135",42.330956,-71.043785,"250250604004005","25025060400",40365393,187
"1136",42.34114,-71.04958,"250250606011000","25025060601",40365443,204
"1137",42.35465,-71.05398,"250250701042026","25025070104",40375320,154
"1138",42.35477,-71.05385,"250250701042026","25025070104",40375467,143
"1139",42.341137,-71.049583,"250250606011000","25025060601",40423797,238
"1140",42.29035,-71.067,"250251005003001","25025100500",40439006,245
"1141",42.3779,-71.03509,"250250502001005","25025050200",40469593,66
"1142",42.32747,-71.10774,"250250811022007","25025081102",40481158,65
"1143",42.37802,-71.03529,"250250502001005","25025050200",40502847,76
"1144",42.34785,-71.07046,"250250703011000","25025070301",40512451,112
"1145",42.33943,-71.07365,"250250705022016","25025070502",40538985,200
"1146",42.32025,-71.07481,"250250904004002","25025090400",40593640,115
"1147",42.32063,-71.0737,"250250904004000","25025090400",40594409,144
"1148",42.33314,-71.049,"250250610001001","25025061000",40613042,250
"1149",42.33694,-71.15024,"250250005062005","25025000506",40617998,200
"1150",42.36491,-71.06432,"250250203052002","25025020305",40729917,116
"1151",42.36529,-71.06305,"250250203051004","25025020305",40730006,125
"1152",42.34868,-71.06867,"250250703021007","25025070302",40801809,100
"1153",42.34811,-71.06896,"250250703021007","25025070302",40842632,100
"1154",42.34772,-71.06892,"250250703011002","25025070301",40843926,112
"1155",42.34896,-71.06959,"250250703023004","25025070302",40844698,112
"1156",42.34883,-71.06965,"250250703023004","25025070302",40845057,112
"1157",42.34961,-71.07042,"250250703023004","25025070302",40882667,112
"1158",42.30623,-71.11746,"250251201042001","25025120104",40890858,186
"1159",42.29885,-71.08271,"250250901005001","25025090100",40896409,300
"1160",42.37897,-71.03012,"250250502003000","25025050200",40898922,90
"1161",42.36298,-71.06312,"250250203042009","25025020304",40919597,549
"1162",42.36348,-71.06183,"250250203042009","25025020304",40919826,488
"1163",42.31715,-71.07281,"250250914002003","25025091400",40938598,314
"1164",42.33484,-71.02684,"250250601013003","25025060101",40971193,866
"1165",42.36679,-71.06432,"250250203051010","25025020305",40971703,164
"1166",42.2824,-71.08973,"250251011021003","25025101102",40983705,81
"1167",42.37906,-71.03039,"250250502003000","25025050200",40991111,85
"1168",42.37869,-71.02978,"250250502004000","25025050200",40991291,90
"1169",42.30942,-71.11137,"250251204002005","25025120400",41006464,119
"1170",42.3478,-71.07988,"250250106002003","25025010600",41076804,183
"1171",42.35193,-71.06318,"250250702021005","25025070202",41105586,135
"1172",42.28315,-71.0891,"250251002002006","25025100200",41283883,76
"1173",42.35654,-71.06999,"250250201011002","25025020101",41360515,114
"1174",42.31507,-71.09937,"250251203011008","25025120301",41377724,29
"1175",42.34397,-71.07617,"250250707002003","25025070700",41397978,135
"1176",42.31422,-71.10082,"250251203011007","25025120301",41405209,39
"1177",42.31556,-71.10147,"250251203011005","25025120301",41405550,39
"1178",42.30011,-71.07966,"250250901004000","25025090100",41415978,175
"1179",42.35215,-71.04572,"250250606041004","25025060604",41611361,135
"1180",42.35164,-71.04561,"250250606031009","25025060603",41615014,136
"1181",42.32334,-71.06898,"250250906002010","25025090600",41624190,38
"1182",42.31608,-71.09664,"250250813021000","25025081302",41763645,204
"1183",42.34707,-71.07326,"250250703011003","25025070301",41765021,376
"1184",42.31545,-71.09784,"250250813021001","25025081302",41878371,68
"1185",42.34878,-71.08627,"250250107013006","25025010701",41923522,237
"1186",42.33528,-71.05404,"250250608004012","25025060800",41932749,476
"1187",42.34788,-71.08645,"250250107013010","25025010701",41949115,237
"1188",42.3639,-71.13294,"250250008062000","25025000806",41949153,321
"1189",42.27817,-71.11879,"250251102011016","25025110201",41963633,199
"1190",42.29098,-71.06686,"250251005003001","25025100500",41992786,190
"1191",42.31239,-71.06662,"250250915002001","25025091500",42074896,157
"1192",42.3587,-71.05844,"250250303021044","25025030302",42094372,166
"1193",42.3593,-71.0577,"250250303021037","25025030302",42094510,140
"1194",42.35464,-71.05422,"250250701042036","25025070104",42116996,123
"1195",42.32625,-71.11176,"250250811012000","25025081101",42206911,299
"1196",42.25098,-71.11605,"250251402025004","25025140202",42239298,60
"1197",42.32033,-71.07473,"250250904004002","25025090400",42355564,26
"1198",42.3106,-71.10182,"250251203013004","25025120301",42358001,130
"1199",42.31266,-71.06646,"250250915002000","25025091500",42363865,53
"1200",42.31416,-71.06515,"250250915001003","25025091500",42364097,53
"1201",42.31218,-71.10267,"250251203014009","25025120301",42379429,129
"1202",42.32207,-71.11022,"250251207001002","25025120700",42404818,41
"1203",42.32395,-71.09412,"250250814002011","25025081400",42432751,75
"1204",42.34435,-71.08707,"250250104033002","25025010403",42449171,456
"1205",42.32631,-71.09544,"250250814002013","25025081400",42454025,65
"1206",42.32668,-71.09676,"250250814002006","25025081400",42454867,60
